participants;sessions;scans
participant_id;participant_id;participant_id
source;session_id;session_id
blinded_code;genfi_version;genfi_version
blinded_family;age_at_visit;bids_filename
blinded_site;anterior;bids_full_path
gender;brain_stem;manufacturer
;cdr-sob;number_of_parts
;cerebellar_vermal_lobules_i-v_;run_num
;cerebellar_vermal_lobules_vi-vii_;source_path
;cerebellar_vermal_lobules_viii-x_;
;cingulate_volume;
;corpus_callosum_;
;date_of_assessment;
;date_of_scan;
;deep_nuclei;
;diagnosis;
;education;
;frontal_lobe_volume;
;ftld-cdr-global;
;ftld-cdr-nm-global;
;genetic_group;
;genetic_status_1;
;genetic_status_2;
;handedness;
;inferior_posterior;
;insula_volume;
;left_accumbens_area;
;left_acgg_anterior_cingulate_gyrus_;
;left_ains_anterior_insula_;
;left_amygdala;
;left_ang_angular_gyrus_;
;left_anterior;
;left_aorg_anterior_orbital_gyrus_;
;left_basal_forebrain;
;left_calc_calcarine_cortex_;
;left_caudate;
;left_cerebellar_cortex;
;left_cerebellum_exterior;
;left_cerebellum_white_matter;
;left_cerebral_exterior_;
;left_cingulate_volume;
;left_cingulate_white_matter_;
;left_claustrum;
;left_co_central_operculum_;
;left_cun_cuneus;
;left_ent_entorhinal_area;
;left_fo_frontal_operculum;
;left_frontal_lobe_volume;
;left_frontal_white_matter_;
;left_frp_frontal_pole_;
;left_fug_fusiform_gyrus_;
;left_gre_gyrus_rectus_;
;left_hippocampus;
;left_inf_lat_vent;
;left_inferior_posterior;
;left_insula_volume;
;left_insula_white_matter_;
;left_iog_inferior_occipital_gyrus_;
;left_itg_inferior_temporal_gyrus_;
;left_lateral_ventricle;
;left_lesion;
;left_lig_lingual_gyrus_;
;left_lorg_lateral_orbital_gyrus_;
;left_mcgg_middle_cingulate_gyrus_;
;left_mfc_medial_frontal_cortex_;
;left_mfg_middle_frontal_gyrus;
;left_mog_middle_occipital_gyrus_;
;left_morg_medial_orbital_gyrus_;
;left_mpog_postcentral_gyrus_medial_segment_;
;left_mprg_precentral_gyrus_medial_segment_;
;left_msfg_superior_frontal_gyrus_medial_segment;
;left_mtg_middle_temporal_gyrus_;
;left_occipital_lobe_volume;
;left_occipital_white_matter_;
;left_ocp_occipital_pole_;
;left_ofug_occipital_fusiform_gyrus_;
;left_opifg_opercular_part_of_the_inferior_frontal_gyrus_;
;left_orifg_orbital_part_of_the_inferior_frontal_gyrus_;
;left_pallidum;
;left_parietal_lobe_volume;
;left_parietal_white_matter_;
;left_pcgg_posterior_cingulate_gyrus_;
;left_pcu_precuneus_;
;left_phg_parahippocampal_gyrus_;
;left_pins_posterior_insula_;
;left_po_parietal_operculum_;
;left_pog_postcentral_gyrus_;
