Field	BIDS CLINICA	BIDS format	BIDS type	ADNI	ADNI location
BIDS session id	session_id	Keyword 'ses-' followed by the original session id of each dataset without special characters or symbols	string		
Date of the examination	examination_date	YYYY-MM-DD HH:MM:SS	string	EXAMDATE	ADNIMERGE.csv/ADNIMERGE
Age at the session	age		float	AGE	ADNIMERGE.csv/ADNIMERGE
Protocol under which data was collected	current_study	"free format: ADNI1; ADNI2; ADNI3; ADNIGO"	string	COLPROT	ADNIMERGE.csv/ADNIMERGE
Current Diagnosis	diagnosis	"string: CN (CN) ; MCI (MCI); Dementia (AD)"	string	DX	ADNIMERGE.csv/ADNIMERGE
Average FDG-PET of angular, temporal and posterior cingulate	adni_fdg	Number (float)		FDG	ADNIMERGE.csv/ADNIMERGE
Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex and parietal cortex	adni_pib	Number (float)		PIB	ADNIMERGE.csv/ADNIMERGE
Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to cerebellum	adni_av45	Number (float)		AV45	ADNIMERGE.csv/ADNIMERGE
Clinical Dementia Rating Scale - Sum of boxes	cdr_sb	"Number: 0;0.5;1;2;3"		CDRSB	ADNIMERGE.csv/ADNIMERGE
Clinical Dementia Rating Scale - Global	cdr_global	"Number: 0;0.5;1;2;3"		CDGLOBAL	CDR.csv
AD Assessment Scale - 11	adas11	Number (float)		ADAS11	ADNIMERGE.csv/ADNIMERGE
AD Assessment Scale - 13	adas13	Number (float)		ADAS13	ADNIMERGE.csv/ADNIMERGE
Mini-mental state exam	MMSE	Number	int	MMSE	ADNIMERGE.csv/ADNIMERGE
Functional Activities Questionnaires	FAQ	Number		FAQ	ADNIMERGE.csv/ADNIMERGE
UCSF Ventricule Volume	adni_ventricles_vol	Number (float)		Ventricles	ADNIMERGE.csv/ADNIMERGE
UCSF Hippocampus Volume	adni_hippocampus_vol	Number (float)		Hippocampus	ADNIMERGE.csv/ADNIMERGE
UCSF Whole Brain Volume	adni_brain_vol	Number (float)		WholeBrain	ADNIMERGE.csv/ADNIMERGE
UCSF Entorhinal Volume	adni_entorhinal_vol	Number (float)		Entorhinal	ADNIMERGE.csv/ADNIMERGE
Intracranial volume	adni_icv			ICV	ADNIMERGE.csv/ADNIMERGE
					
Rey's Auditory Verbal Learning Test - immediate	ravlt_immediate	Number (int)		RAVLT_immediate	ADNIMERGE.csv/ADNIMERGE
MOntreal Cognitive Assessment Test	moca	Number (int)		MOCA	ADNIMERGE.csv/ADNIMERGE
Trail and Making Test - Part A - Complete	TMT_A	Number (int)		TMT_PtA_Complete	ITEM.csv
Trail and Making Test - Part B - Complete	TMT_B	Number (int)		TMT_PtB_Complete	ITEM.csv
Logical Memory - Delayed Recall Total Number of Story Units Recalled	logmem_delay	Number (int)		LDELTOTAL	NEUROBAT.csv
Logical Memory - Immediate Recall Total Number of Story Units Recalled	logmem_imm	Number (int)		LIMMTOTAL	NEUROBAT.csv
Digit Symbol Substitution Test Score	dsst	Number (int)		DIGITSCOR	NEUROBAT.csv
					
AD Assessment scale - Word Recall	adas_Q1	Number		Q1	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Commands	adas_Q2	Number		Q2	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Construction	adas_Q3	Number		Q3	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Delayed Word Recall	adas_Q4	Number		Q4	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Naming	adas_Q5	Number		Q5	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Ideational Praxis	adas_Q6	Number		Q6	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Orientation	adas_Q7	Number		Q7	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Word Recognition	adas_Q8	Number		Q8	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Recall Instructions	adas_Q9	Number		Q9	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Spoken Language	adas_Q10	Number		Q10	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Word Finding Difficulty	adas_Q11	Number		Q11	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Comprehension	adas_Q12	Number		Q12	ADASSCORES.csv/ADASSCORES
AD Assessment scale - Number Cancellation	adas_Q13	Number		Q14	ADASSCORES.csv/ADASSCORES
					
AD Assessment scale - Word Recall	adas_Q1	Number		Q1SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Commands	adas_Q2	Number		Q2SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Construction	adas_Q3	Number		Q3SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Delayed Word Recall	adas_Q4	Number		Q4SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Naming	adas_Q5	Number		Q5SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Ideational Praxis	adas_Q6	Number		Q6SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Orientation	adas_Q7	Number		Q7SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Word Recognition	adas_Q8	Number		Q8SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Recall Instructions	adas_Q9	Number		Q9SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Spoken Language	adas_Q10	Number		Q10SCORE	ADAS_ADNIGO2.csv
