data	level
plasma_nfl_(pg/ml)	sessions
plasma_nfl_source	sessions
plasma_gfap_(pg/ml)	sessions
plasma_gfap_source	sessions
plasma_pnfh	sessions
plasma_pnfh_source	sessions
affected	sessions
genetic_status_1	sessions
genetic_status_2	sessions
age_at_onset	sessions
first_symptom	sessions
first_symptom.1	sessions
first_symptom.2	sessions
diagnosis	sessions
rascovsky	sessions
gorno-tempini	sessions
el-escorial	sessions
ftld-cdr-sob	sessions
ftld-cdr-global	sessions
cdr-sob	sessions
genfi-cdr-sob	sessions
genfi-cdr-global	sessions
behav-sob	sessions
pass-sob	sessions
affected.1	sessions
behaviour	sessions
disinhibition	sessions
apathy	sessions
empathy	sessions
ocd	sessions
appetite	sessions
emotions	sessions
trusting	sessions
affected.2	sessions
neuropsych	sessions
vis_hal	sessions
aud_hal	sessions
tac_hal	sessions
delusions	sessions
depression	sessions
anxiety	sessions
lability	sessions
aggression	sessions
euphoria	sessions
aberr_motor	sessions
hypersexuality	sessions
hyperreligiousity	sessions
sleep	sessions
humour	sessions
affected.3	sessions
language	sessions
artic	sessions
fluency	sessions
grammar	sessions
retrieval	sessions
repetition	sessions
sent_comp	sessions
word_comp	sessions
dyslexia	sessions
dysgraphia	sessions
func_comm	sessions
affected.4	sessions
cognitive	sessions
memory	sessions
orientation	sessions
judg_prob_solv	sessions
comm_affairs	sessions
hobbies	sessions
personal_care	sessions
person_recog	sessions
topo_memory	sessions
visuospatial	sessions
attention	sessions
bradyphrenia	sessions
affected.5	sessions
motor	sessions
dysarthria	sessions
dysphagia	sessions
tremor	sessions
slowness	sessions
weakness	sessions
gait	sessions
falls	sessions
hands	sessions
affected.6	sessions
autonomic	sessions
bp	sessions
gastro	sessions
thermo	sessions
urinary	sessions
pain	sessions
affected.7	sessions
sounds	sessions
smell	sessions
unexplained	sessions
breathing	sessions
seizures	sessions
stroke	sessions
tbi	sessions
hypertension	sessions
hyperchol	sessions
diabetes	sessions
smoking	sessions
alcohol	sessions
rec_drugs	sessions
autoimmune	sessions
drug_history	sessions
no_of_drugs	sessions
mmse	sessions
supranuclear	sessions
eyelid	sessions
face_weakness	sessions
bulbar	sessions
pseudobulbar	sessions
neck_weakness	sessions
neck_rigidity	sessions
resp_weakness	sessions
myoclonus_l	sessions
myoclonus_r	sessions
rest_tremor_l	sessions
rest_tremor_r	sessions
post_tremor_l	sessions
post_tremor_r	sessions
dystonia_l	sessions
dystonia_r	sessions
chorea_l	sessions
chorea_r	sessions
bradykinesia_ul_l	sessions
bradykinesia_ul_r	sessions
bradykinesia_ll_l	sessions
bradykinesia_ll_r	sessions
rigidity_l	sessions
rigidity_r	sessions
limb_apraxia_l	sessions
limb_apraxia_r	sessions
alien_limb_l	sessions
alien_limb_r	sessions
cortical_sensory_l	sessions
cortical_sensory_r	sessions
fascic_ul_l	sessions
fascic_ul_r	sessions
fascic_ll_l	sessions
fascic_ll_r	sessions
spasticity_ul_l	sessions
spasticity_ul_r	sessions
spasticity_ll_l	sessions
spasticity_ll_r	sessions
weakness_ul_l	sessions
weakness_ul_r	sessions
weakness_ll_l	sessions
weakness_ll_r	sessions
hyperreflexia_ul_l	sessions
hyperreflexia_ul_r	sessions
hyperreflexia_ll_l	sessions
hyperreflexia_ll_r	sessions
ataxia_ul_l	sessions
ataxia_ul_r	sessions
ataxia_ll_l	sessions
ataxia_ll_r	sessions
abnormal_gait	sessions
type	sessions
severity	sessions
affected.8	sessions
arising	sessions
sitting	sessions
post_instability	sessions
memory.1	sessions
everyday_skills	sessions
self_care	sessions
abnormal_behaviour	sessions
mood	sessions
beliefs	sessions
eating	sessions
sleep.1	sessions
stereotypic_behaviour	sessions
motivation	sessions
cbi_total	sessions
frs_%	sessions
miri_total	sessions
miri_ec	sessions
miri_pt	sessions
rsms_total	sessions
rsms_ex	sessions
rsms_sp	sessions
alsfrs_total	sessions
emg	sessions
myoclonus	sessions
rest_tremor	sessions
post_tremor	sessions
dystonia	sessions
bradykinesia	sessions
rigidity	sessions
limb_apraxia	sessions
alien_limb	sessions
fascic_ul	sessions
fascic_ll	sessions
spasticity_ul	sessions
spasticity_ll	sessions
weakness_ul	sessions
weakness_ll	sessions
hyperreflexia_ul	sessions
hyperreflexia_ll	sessions
ataxia	sessions
genetic_group	participants
mutation	participants
blinded_family	participants
awareness_of_genetic_status	sessions
dob	participants
gender	participants
handedness	participants
education	sessions
employment	sessions
ethnicity	participants
mean_family_aao	sessions
age_at_visit	sessions
eyo	sessions
mother_affected	sessions
aao	sessions
aad	sessions
father_affected	sessions
diagnosis.1	sessions
aao.1	sessions
aad.1	sessions
no_of_sibs	sessions
no_of_affected_sibs	sessions
diagnosis_1	sessions
aao_1	sessions
aad_1	sessions
diagnosis_2	sessions
aao_2	sessions
aad_2	sessions
diagnosis_3	sessions
aao_3	sessions
aad_3	sessions
diagnosis_4	sessions
aao_4	sessions
aad_4	sessions
diagnosis_5	sessions
aao_5	sessions
aad_5	sessions
diagnosis_6	sessions
aao_6	sessions
aad_6	sessions
diagnosis_7	sessions
aao_7	sessions
aad_7	sessions
diagnosis_8	sessions
aao_8	sessions
aad_8	sessions
scan_for_qc	scans
qc_include_in_vbm	scans
qc_include_in_gif	scans
drc_qc	scans
mb_qc_comments	scans
other_qc_comments	scans
volume1	sessions
volume2	sessions
volume3	sessions
gm_ml	sessions
wm_ml	sessions
csf_ml	sessions
tiv_ml	sessions
tiv_mm3	sessions
non-brain_outer_tissue_-_background	sessions
non-brain_low	sessions
non-brain_mid	sessions
non-brain_high	sessions
non-ventricular_csf	sessions
3rd_ventricle	sessions
4th_ventricle_	sessions
5th_ventricle	sessions
right_accumbens_area	sessions
left_accumbens_area	sessions
right_amygdala	sessions
left_amygdala	sessions
pons	sessions
brain_stem	sessions
right_caudate	sessions
left_caudate	sessions
right_cerebellum_exterior	sessions
left_cerebellum_exterior	sessions
right_cerebellum_white_matter	sessions
left_cerebellum_white_matter	sessions
right_cerebral_exterior	sessions
left_cerebral_exterior_	sessions
3rd_ventricle_(posterior_part)	sessions
right_hippocampus	sessions
left_hippocampus	sessions
right_inf_lat_vent_	sessions
left_inf_lat_vent	sessions
right_lateral_ventricle	sessions
left_lateral_ventricle	sessions
right_lesion	sessions
left_lesion	sessions
right_pallidum	sessions
left_pallidum	sessions
right_putamen	sessions
left_putamen	sessions
right_thalamus_proper	sessions
left_thalamus_proper	sessions
right_ventral_dc	sessions
left_ventral_dc	sessions
right_vessel	sessions
left_vessel	sessions
right_ventricular_lining	sessions
left_ventricular_lining	sessions
optic_chiasm	sessions
cerebellar_vermal_lobules_i-v_	sessions
cerebellar_vermal_lobules_vi-vii_	sessions
cerebellar_vermal_lobules_viii-x_	sessions
left_basal_forebrain	sessions
right_basal_forebrain_	sessions
right_temporal_white_matter	sessions
right_insula_white_matter_	sessions
right_cingulate_white_matter	sessions
right_frontal_white_matter_	sessions
right_occipital_white_matter_	sessions
right_parietal_white_matter_	sessions
corpus_callosum_	sessions
left_temporal_white_matter_	sessions
left_insula_white_matter_	sessions
left_cingulate_white_matter_	sessions
left_frontal_white_matter_	sessions
left_occipital_white_matter_	sessions
left_parietal_white_matter_	sessions
right_claustrum_	sessions
left_claustrum	sessions
right_acgg_anterior_cingulate_gyrus_	sessions
