participants;sessions;scans
participant_id;participant_id;participant_id
source;session_id;session_id
gender;genfi_version;bids_filename
handedness;age_at_visit;bids_full_path
education;date_of_scan;source_path
genetic_group;diagnosis;manufacturer
genetic_status_1;ftld-cdr-global;run_num
genetic_status_2;cdr-sob;number_of_parts
;non-brain_outer_tissue_-_background;
;non-brain_low;
;non-brain_mid;
;non-brain_high;
;non-ventricular_csf;
;3rd_ventricle;
;4th_ventricle_;
;5th_ventricle;
;right_accumbens_area;
;left_accumbens_area;
;right_amygdala;
;left_amygdala;
;pons;
;brain_stem;
;right_caudate;
;left_caudate;
;right_cerebellum_exterior;
;left_cerebellum_exterior;
;right_cerebellum_white_matter;
;left_cerebellum_white_matter;
;right_cerebral_exterior;
;left_cerebral_exterior_;
;3rd_ventricle_(posterior_part);
;right_hippocampus;
;left_hippocampus;
;right_inf_lat_vent_;
;left_inf_lat_vent;
;right_lateral_ventricle;
;left_lateral_ventricle;
;right_lesion;
;left_lesion;
;right_pallidum;
;left_pallidum;
;right_putamen;
;left_putamen;
;right_thalamus_proper;
;left_thalamus_proper;
;right_ventral_dc;
;left_ventral_dc;
;right_vessel;
;left_vessel;
;right_ventricular_lining;
;left_ventricular_lining;
;optic_chiasm;
;cerebellar_vermal_lobules_i-v_;
;cerebellar_vermal_lobules_vi-vii_;
;cerebellar_vermal_lobules_viii-x_;
;left_basal_forebrain;
;right_basal_forebrain_;
;right_temporal_white_matter;
;right_insula_white_matter_;
;right_cingulate_white_matter;
;right_frontal_white_matter_;
;right_occipital_white_matter_;
;right_parietal_white_matter_;
;corpus_callosum_;
;left_temporal_white_matter_;
;left_insula_white_matter_;
;left_cingulate_white_matter_;
;left_frontal_white_matter_;
;left_occipital_white_matter_;
;left_parietal_white_matter_;
;right_claustrum_;
;left_claustrum;
;right_acgg_anterior_cingulate_gyrus_;
;left_acgg_anterior_cingulate_gyrus_;
;right_ains_anterior_insula_;
;left_ains_anterior_insula_;
;right_aorg_anterior_orbital_gyrus_;
;left_aorg_anterior_orbital_gyrus_;
;right_ang_angular_gyrus_;
;left_ang_angular_gyrus_;
;right_calc_calcarine_cortex_;
;left_calc_calcarine_cortex_;
;right_co_central_operculum_;
;left_co_central_operculum_;
;right_cun_cuneus_;
;left_cun_cuneus;
;right_ent_entorhinal_area_;
;left_ent_entorhinal_area;
;right_fo_frontal_operculum_;
;left_fo_frontal_operculum;
;right_frp_frontal_pole_;
;left_frp_frontal_pole_;
;right_fug_fusiform_gyrus_;
;left_fug_fusiform_gyrus_;
;right_gre_gyrus_rectus;
;left_gre_gyrus_rectus_;
;right_iog_inferior_occipital_gyrus;
;left_iog_inferior_occipital_gyrus_;
