roi_value	roi_name
0	Background
1	Left-Hippocampus
2	Right-Hippocampus
3	Left-Amygdala
4	Right-Amygdala
5	Left-Anterior-Medial-Temporal-Lobe
6	Right-Anterior-Medial-Temporal-Lobe
7	Left-Anterior-Lateral-Temporal-Lobe
8	Right-Anterior-Lateral-Temporal-Lobe
9	Left-Ambient-and-Parahippocampus-Gyri
10	Right-Ambient-and-Parahippocampus-Gyri
11	Left-Superior-Temporal-Gyrus
12	Right-Superior-Temporal-Gyrus
13	Left-Inferior-Middle-Temporal-Gyri
14	Right-Inferior-Middle-Temporal-Gyri
15	Left-Fusiform-Gyrus
16	Right-Fusiform-Gyrus
17	Left-Cerebellum
18	Right-Cerebellum
19	Left-Brainstem
20	Right-Brainstem
21	Left-Insula
22	Right-Insula
23	Left-Lateral-Occipital-Lobe
24	Right-Lateral-Occipital-Lobe
25	Left-Anterior-Cinguli-Gyrus
26	Right-Anterior-Cinguli-Gyrus
27	Left-Posterior-Cinguli-Gyrus
28	Right-Posterior-Cinguli-Gyrus
29	Left-Middle-Frontal-Gyrus
30	Right-Middle-Frontal-Gyrus
31	Left-Posterior-Temporal-Lobe
32	Right-Posterior-Temporal-Lobe
33	Left-Inferior-Lateral-Pariatal Lobe
34	Right-Inferior-Lateral-Pariatal Lobe
35	Left-Caudate-Nucleus
36	Right-Caudate-Nucleus
37	Left-Accumbens-Nucleus
38	Right-Accumbens-Nucleus
39	Left-Putamen
40	Right-Putamen
41	Left-Thalamus
42	Right-Thalamus
43	Left-Pallidum
44	Right-Pallidum
45	Left-Corpus-Callosum
46	Right-Corpus-Callosum
47	Left-Lateral-Temporal-Ventricle
48	Right-Lateral-Temporal-Ventricle
49	Left-Third-Ventricle
50	Right-Third-Ventricle
51	Left-Precentral-Gyrus
52	Right-Precentral-Gyrus
53	Left-Rectus-Gyrus
54	Right-Rectus-Gyrus
55	Left-Orbito-Frontal-Gyri
56	Right-Orbito-Frontal-Gyri
57	Left-Inferior-Frontal-Gyrus
58	Right-Inferior-Frontal-Gyrus
59	Left-Superior-Frontal-Gyrus
60	Right-Superior-Frontal-Gyrus
61	Left-Postcentral-Gyrus
62	Right-Postcentral-Gyrus
63	Left-Superior-Parietal-Gyrus
64	Right-Superior-Parietal-Gyrus
65	Left-Lingual-Gyrus
66	Right-Lingual-Gyrus
67	Left-Cuneus
68	Right-Cuneus
