roi_value	roi_name
0	Unknown
1	Anterior-thalamic-radiation-L
2	Anterior-thalamic-radiation-R
3	Corticospinal-tract-L
4	Corticospinal-tract-R
5	Cingulum-(cingulate-gyrus)-L
6	Cingulum-(cingulate-gyrus)-R
7	Cingulum-(hippocampus)-L
8	Cingulum-(hippocampus)-R
9	Forceps-major
10	Forceps-minor
11	Inferior-fronto-occipital-fasciculus-L
12	Inferior-fronto-occipital-fasciculus-R
13	Inferior-longitudinal-fasciculus-L
14	Inferior-longitudinal-fasciculus-R
15	Superior-longitudinal-fasciculus-L
16	Superior-longitudinal-fasciculus-R
17	Uncinate-fasciculus-L
18	Uncinate-fasciculus-R
19	Superior-longitudinal-fasciculus-(temporal-part)-L
20	Superior-longitudinal-fasciculus-(temporal-part)-R
