roi_value	roi_name
0	Background
21	Left-Superior-Frontal-Gyrus
22	Right-Superior-Frontal-Gyrus
23	Left-Middle-Frontal-Gyrus
24	Right-Middle-Frontal-Gyrus
25	Left-Inferior-Frontal-Gyrus
26	Right-Inferior-Frontal-Gyrus
27	Left-Precentral-Gyrus
28	Right-Precentral-Gyrus
29	Left-Middle-Orbitofrontal-Gyrus
30	Right-Middle-Orbitofrontal-Gyrus
31	Left-Lateral—Orbitofrontal-Gyrus
32	Right-Lateral-Orbitofrontal-Gyrus
33	Left-Gyrus-Rectus
34	Right-Gyrus-Rectus
41	Left-Postcentral-Gyrus
42	Right-Postcentral-Gyrus
43	Left-Superior-Parietal-Gyrus
44	Right-Superior-Parietal-Gyrus
45	Left-Supramarginal-Gyrus
46	Right-Supramarginal-Gyrus
47	Left-Angular-Gyrus
48	Right-Angular-Gyrus
49	Left-Precuneus
50	Right-Precuneus
61	Left-Superior-Occipital-Gyrus
62	Right-Superior-Occipital-Gyrus
63	Left-Middle-Occipital-Gyrus
64	Right-Middle-Occipital-Gyrus
65	Left-Inferior-Occipital-Gyrus
66	Right-Inferior-Occipital-Gyrus
67	Left-Cuneus
68	Right-Cuneus
81	Left-Superior-Temporal-Gyrus
82	Right-Superior-Temporal-Gyrus
83	Left-Middle-Temporal-Gyrus
84	Right-Middle-Temporal-Gyrus
85	Left-Inferior-Temporal-Gyrus
86	Right-Inferior-Temporal-Gyrus
87	Left-Parahippocampal-Gyrus
88	Right-Parahippocampal-Gyrus
89	Left-Lingual-Gyrus
90	Right-Lingual-Gyrus
91	Left-Fusiform-Gyrus
92	Right-Fusiform-Gyrus
101	Left-Insula
102	Right-Insula
121	Left-Cingulate-Gyrus
122	Right-Cingulate-Gyrus
161	Left-Caudate
162	Right-Caudate
163	Left-Putamen
164	Right-Putamen
165	Left-Hippocampus
166	Right-Hippocampus
181	Bothside-Cerebellar-Lobe
182	Bothside-Brainstem
