roi_value	roi_name
0	Background
1	Left-Third-Ventricle
2	Right-Third-Ventricle
3	Left-Fourth-Ventricle
4	Right-Fourth-Ventricle
5	Left-Accumbens
6	Right-Accumbens
8	Right-Amygdala
7	Left-Amygdala
9	Left-Brainstem
10	Right-Brainstem
11	Left-Caudate
12	Right-Caudate
13	Left-Exterior-Cerebellum
14	Right-Exterior-Cerebellum
15	Left-Cerebellum-White-Matter
16	Right-Cerebellum-White-Matter
17	Left-Cerebral-White-Matter
18	Right-Cerebral-White-Matter
19	Left-CSF
20	Right-CSF
21	Left-Hippocampus
22	Right-Hippocampus
23	Left-Inferior-Lateral-Ventricle
24	Right-Inferior-Lateral-Ventricle
25	Left-Lateral-Ventricle
26	Right-Lateral-Ventricle
27	Left-Pallidum
28	Right-Pallidum
29	Left-Putamen
30	Right-Putamen
31	Left-Thalamus-Proper
32	Right-Thalamus-Proper
33	Left-Ventral-Ventricle
34	Right-Ventral-Ventricle
35	Left-Optic-Chiasm
36	Right-Optic-Chiasm
37	Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V
38	Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V
39	Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII
40	Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII
41	Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X
42	Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X
43	Left-Basal-Cerebrum-and-Forebrain-Brain
44	Right-Basal-Cerebrum-and-Forebrain-Brain
45	Left-Anterior-Cingulate-Gyrus
46	Right-Anterior-Cingulate-Gyrus
47	Left-Anterior-Insula
48	Right-Anterior-Insula
49	Left-Anterior-Orbital-Gyrus
50	Right-Anterior-Orbital-Gyrus
51	Left-Angular-Gyrus
52	Right-Angular-Gyrus
53	Left-Calcarine-and-Cerebrum
54	Right-Calcarine-and-Cerebrum
55	Left-Central-Operculum
56	Right-Central-Operculum
57	Left-Cuneus
58	Right-Cuneus
59	Left-Entorhinal-Area
60	Right-Entorhinal-Area
61	Left-Frontal-Operculum
62	Right-Frontal-Operculum
63	Left-Frontal-Pole
64	Right-Frontal-Pole
65	Left-Fusiform-Gyrus
66	Right-Fusiform-Gyrus
67	Left-Rectus-Gyrus
68	Right-Rectus-Gyrus
69	Left-Inferior-Occipital-Gyrus
70	Right-Inferior-Occipital-Gyrus
71	Left-Inferior-Temporal-Gyrus
72	Right-Inferior-Temporal-Gyrus
73	Left-Lingual-Gyrus
74	Right-Lingual-Gyrus
75	Left-Lateral-Orbital-Gyrus
76	Right-Lateral-Orbital-Gyrus
77	Left-Middle-Cingulate-Gyrus
78	Right-Middle-Cingulate-Gyrus
79	Left-Medial-Frontal-Cerebrum
80	Right-Medial-Frontal-Cerebrum
81	Left-Middle-Frontal-Gyrus
82	Right-Middle-Frontal-Gyrus
83	Left-Middle-Occipital-Gyrus
84	Right-Middle-Occipital-Gyrus
85	Left-Medial-Orbital-Gyrus
86	Right-Medial-Orbital-Gyrus
87	Left-Medial-Postcentral-Gyrus
88	Right-Medial-Postcentral-Gyrus
89	Left-Medial-Precentral-Gyrus
90	Right-Medial-Precentral-Gyrus
91	Left-Superior-Medial-Frontal-Gyrus
92	Right-Superior-Medial-Frontal-Gyrus
93	Left-Middle-Temporal-Gyrus
94	Right-Middle-Temporal-Gyrus
95	Left-Occipital-Pole
96	Right-Occipital-Pole
97	Left-Occipital-Fusiform-Gyrus
98	Right-Occipital-Fusiform-Gyrus
99	Left-Inferior-Frontal-Gyrus
100	Right-Inferior-Frontal-Gyrus
101	Left-Inferior-Frontal-Orbital-Gyrus
102	Right-Inferior-Frontal-Orbital-Gyrus
103	Left-Posterior-Cingulate-Gyrus
104	Right-Posterior-Cingulate-Gyrus
105	Left-Precuneus
106	Right-Precuneus
107	Left-Parahippocampus-Gyrus
108	Right-Parahippocampus-Gyrus
109	Left-Posterior-Insula
110	Right-Posterior-Insula
111	Left-Parietal-Operculum
112	Right-Parietal-Operculum
113	Left-Postcentral-Gyrus
114	Right-Postcentral-Gyrus
115	Left-Posterior-Orbital-Gyrus
116	Right-Posterior-Orbital-Gyrus
117	Left-Planum-Polare
118	Right-Planum-Polare
119	Left-Precentral-Gyrus
120	Right-Precentral-Gyrus
121	Left-Temporal
122	Right-Temporal
123	Left-Subcallosal-Area
124	Right-Subcallosal-Area
125	Left-Superior-Frontal-Gyrus
126	Right-Superior-Frontal-Gyrus
127	Left-Cerebrum-and-Motor
128	Right-Cerebrum-and-Motor
129	Left-Supramarginal-Gyrus
130	Right-Supramarginal-Gyrus
131	Left-Superior-Occipital-Gyrus
132	Right-Superior-Occipital-Gyrus
133	Left-Superior-Parietal-Lobule
134	Right-Superior-Parietal-Lobule
135	Left-Superior-Temporal-Gyrus
136	Right-Superior-Temporal-Gyrus
137	Left-Temporal-Pole
138	Right-Temporal-Pole
139	Left-Inferior-Frontal-Angular-Gyrus
140	Right-Inferior-Frontal-Angular-Gyrus
141	Left-Temporal-Transverse-Gyrus
142	Right-Temporal-Transverse-Gyrus
