
0 Background	0	0	0	0
2001	Precentral_L	204	182	142	0
2002	Precentral_R	204	182	142	0
2101	Frontal_Sup_2_L	42	204	164	0
2102	Frontal_Sup_2_R	42	204	164	0
2201	Frontal_Mid_2_L	255	165	0	0
2202	Frontal_Mid_2_R	255	165	0	0
2301	Frontal_Inf_Oper_L	103	255	255	0
2302	Frontal_Inf_Oper_R	103	255	255	0
2311	Frontal_Inf_Tri_L	119	159	176	0
2312	Frontal_Inf_Tri_R	119	159	176	0
2321	Frontal_Inf_Orb_2_L	96	204	96	0
2322	Frontal_Inf_Orb_2_R	96	204	96	0
2331	Rolandic_Oper_L	220	248	164	0
2332	Rolandic_Oper_R	220	248	164	0
2401	Supp_Motor_Area_L	205	62	78	0
2402	Supp_Motor_Area_R	205	62	78	0
2501	Olfactory_L	220	216	20	0
2502	Olfactory_R	220	216	20	0
2601	Frontal_Sup_Medial_L	196	58	250	0
2602	Frontal_Sup_Medial_R	196	58	250	0
2611	Frontal_Med_Orb_L	120	18	134	0
2612	Frontal_Med_Orb_R	120	18	134	0
2701	Rectus_L	120	18	134	0
2702	Rectus_R	120	18	134	0
2801	FCmed_L	12	48	255	0
2802	OFCmed_R	12	48	255	0
2811	OFCant_L	236	13	176	0
2812	OFCant_R	236	13	176	0
2821	OFCpost_L	0	118	14	0
2822	CFCpost_R	0	118	14	0
2831	OFClat_L	165	42	42	0
2832	OFClat_R	165	42	42	0
3001	Insula_L	255	255	255	0
3002	Insula_R	255	255	255	0
4001	Cingulate_Ant_L	184	237	194	0
4002	Cingulate_Ant_R	184	237	194	0
4011	Cingulate_Mid_L	225	183	231	0
4012	Cingulate_Mid_R	225	183	231	0
4021	Cingulate_Post_L	180	180	180	0
4022	Cingulate_Post_R	180	180	180	0
4101	Hippocampus_L	255	62	150	0
4102	Hippocampus_R	255	62	150	0
4111	ParaHippocampal_L	160	82	45	0
4112	ParaHippocampal_R	160	82	45	0
4202	Amygdala_L	165	42	42	0
4202	Amygdala_R	165	42	42	0
5001	Calcarine_L	205	91	69	0
5002	Calcarine_R	205	91	69	0
5011	Cuneus_L	100	149	237	0
5012	Cuneus_R	100	149	237	0
5021	Lingual_L	135	206	235	0
5022	Lingual_R	135	206	235	0
5101	Occipital_Sup_L	250	128	114	0
5102	Occipital_Sup_R	250	128	114	0
5201	Occipital_Mid_L	255	255	0	0
5202	Occipital_Mid_R	255	255	0	0
5301	Occipital_Inf_L	221	160	221	0
5302	Occipital_Inf_R	221	160	221	0
5401	Fusiform_L	0	238	0	0
5402	Fusiform_R	0	238	0	0
6001	Postcentral_L	205	92	92	0
6002	Postcentral_R	205	92	92	0
6101	Parietal_Sup_L	176	48	96	0
6102	Parietal_Sup_R	178	48	96	0
6201	Parietal_Inf_L	152	251	152	0
6202	Parietal_Inf_R	152	251	152	0
6211	SupraMarginal_L	50	205	50	0
6212	SupraMarginal_R	50	205	50	0
6221	Angular_L	173	216	230	0
6222	Angular_R	173	216	230	0
6301	Precuneus_L	0	100	0	0
6302	Precuneus_R	0	100	0	0
6401	Paracentral_Lobule_L	173	216	230	0
6402	Paracentral_Lobule_R	173	216	230	0
7001	Caudate_L	160	32	240	0
7002	Caudate_R	160	32	240	0
7011	Putamen_L	238	201	0	0
7012	Putamen_R	238	201	0	0
7021	Pallidum_L	46	139	87	0
7022	Pallidum_R	46	139	87	0
7101	Thalamus_L	238	0	0	0
7102	Thalamus_R	238	0	0	0
8101	Heschl_L	74	155	60	0
8102	Heschl_R	74	155	60	0
8111	Temporal_Sup_L	255	215	0	0
8112	Temporal_Sup_R	255	215	0	0
8121	Temporal_Pole_Sup_L	74	155	60	0
8122	Temporal_Pole_Sup_R	74	155	60	0
8201	Temporal_Mid_L	0	255	127	0
8202	Temporal_Mid_R	0	255	127	0
8211	Temporal_Pole_Mid_L	255	69	0	0
8212	Temporal_Pole_Mid_R	255	69	0	0
8301	Temporal_Inf_L	210	180	140	0
8302	Temporal_Inf_R	210	180	140	0
9001	Cerebelum_Crus1_L 	39	64	139	0
9002	Cerebelum_Crus1_R	39	64	139	0
9011	Cerebelum_Crus2_L	255	99	71	0
9012	Cerebelum_Crus2_R	255	99	71	0
9021	Cerebelum_3_L	178	34	34	0
9022	Cerebelum_3_R	178	34	34	0
9031	Cerebelum_4_5_L	255	0	255	0
9032	Cerebelum_4_5_R	255	0	255	0
9041	Cerebelum_6_L	0	255	255	0
9042	Cerebelum_6_R	0	255	255	0
9051	Cerebelum_7b_L	178	34	34	0
9052	Cerebelum_7b_R	10	178	34	0
9061	Cerebelum_8_L	100	50	100	0
9062	Cerebelum_8_R	100	50	100	0
9071	Cerebelum_9_L	255	255	0	0
9072	Cerebelum_9_R	255	255	0	0
9081	Cerebelum_10_L	218	112	214	0
9082	Cerebelum_10_R	218	112	214	0
9100	Vermis_1_2	240	230	140	0
9110	Vermis_3	240	230	140	0
9120	Vermis_4_5	135	50	74	0
9130	Vermis_6	135	50	74	0
9140	Vermis_7	122	135	50	0
9150	Vermis_8	122	135	50	0
9160	Vermis_9	51	50	135	0
9170	Vermis_10	51	50	135	0
